sep=;
time;model_id;model_name;port_name;data
0;1;Woodlands;;<260000,0,0,0>
0;2;AngMoKio;;<160000,0,0,0>
0;3;BukitMerah;;<170000,0,0,0>
0;4;Geylang;;<100000,0,10,0>
0;5;Tampines;;<240000,0,0,0>
0;6;JurongEast;;<180000,0,0,0>
0;7;Orchard;;<30000,0,0,0>
0;8;MarinaBay;;<60000,0,0,0>
0;9;PasirRis;;<150000,0,0,0>
0;10;Yishun;;<230000,0,0,0>
0;1;Woodlands;outputNeighborhood;<260000,0,0,0>
0;1;Woodlands;;<260000,0,0,0>
0;2;AngMoKio;outputNeighborhood;<160000,0,0,0>
0;2;AngMoKio;;<160000,0,0,0>
0;3;BukitMerah;outputNeighborhood;<170000,0,0,0>
0;3;BukitMerah;;<170000,0.000225,0,0>
0;4;Geylang;outputNeighborhood;<100000,0,10,0>
0;4;Geylang;;<100000,0.001,9,1>
0;5;Tampines;outputNeighborhood;<240000,0,0,0>
0;5;Tampines;;<240000,0,0,0>
0;6;JurongEast;outputNeighborhood;<180000,0,0,0>
0;6;JurongEast;;<180000,0,0,0>
0;7;Orchard;outputNeighborhood;<30000,0,0,0>
0;7;Orchard;;<30000,0,0,0>
0;8;MarinaBay;outputNeighborhood;<60000,0,0,0>
0;8;MarinaBay;;<60000,0.0003,0,0>
0;9;PasirRis;outputNeighborhood;<150000,0,0,0>
0;9;PasirRis;;<150000,0.000225,0,0>
0;10;Yishun;outputNeighborhood;<230000,0,0,0>
0;10;Yishun;;<230000,0,0,0>
1;3;BukitMerah;outputNeighborhood;<170000,0.000225,0,0>
1;3;BukitMerah;;<170000,0.0003825,4.5e-05,0>
1;4;Geylang;outputNeighborhood;<100000,0.001,9,1>
1;4;Geylang;;<100000,0.0017,8.1002,1.9>
1;5;Tampines;;<240000,0,0,0>
1;6;JurongEast;;<180000,0,0,0>
1;7;Orchard;;<30000,0,0,0>
1;8;MarinaBay;outputNeighborhood;<60000,0.0003,0,0>
1;8;MarinaBay;;<60000,0.00051,6e-05,0>
1;9;PasirRis;outputNeighborhood;<150000,0.000225,0,0>
